Team Name,Email,Password,Role
DC-001,dc-001@investo.local,DC-723673,dc
DC-002,dc-002@investo.local,DC-780792,dc
DC-003,dc-003@investo.local,DC-666728,dc
DC-004,dc-004@investo.local,DC-781017,dc
DC-005,dc-005@investo.local,DC-153019,dc
DC-006,dc-006@investo.local,DC-901149,dc
DC-007,dc-007@investo.local,DC-859519,dc
DC-008,dc-008@investo.local,DC-438875,dc
DC-009,dc-009@investo.local,DC-266896,dc
DC-010,dc-010@investo.local,DC-951454,dc
DC-011,dc-011@investo.local,DC-582949,dc
DC-012,dc-012@investo.local,DC-608837,dc
DC-013,dc-013@investo.local,DC-484871,dc
DC-014,dc-014@investo.local,DC-853486,dc
DC-015,dc-015@investo.local,DC-466836,dc
DC-016,dc-016@investo.local,DC-583722,dc
DC-017,dc-017@investo.local,DC-182500,dc
DC-018,dc-018@investo.local,DC-424018,dc
DC-019,dc-019@investo.local,DC-610446,dc
DC-020,dc-020@investo.local,DC-136718,dc
